Title,Author,Runtime
Clap Back,Lani Lynn Vale,5 hrs and 49 mins
The Wrecked One,Brittney Sahin,14 hrs and 35 mins
The Bonus,T L Swan,14 hrs and 5 mins
A False Start,Elsie Silver,9 hrs and 51 mins
The Reveal,David Icke,20 hrs and 58 mins
Teach Me,Neve Wilder,7 hrs and 28 mins
Just George,Mary Calmes,1 hr and 29 mins
Bad to the Throne,Eric Ugland,13 hrs and 17 mins
Demon Lord Academy,Shane Hammond,12 hrs and 50 mins
Industrial Strength Magic,Macronomicon,24 hrs and 2 mins
The Little Things,Jessica Prince,7 hrs and 35 mins
Hell's Wardens,pirateaba,26 hrs and 36 mins
Princes of Legacy,"Angel Lawson, Samantha Rue",18 hrs and 17 mins
Burdened Bonds,Hannah Haze,10 hrs and 22 mins
Lyorn,Steven Brust,10 hrs and 2 mins
The Late Lord Thorpe,Peter Grainger,14 hrs
The Dragon's Prophecy,Jonathan Cahn,9 hrs and 39 mins
Protecting the Nerd,Nora Phoenix,7 hrs and 35 mins
Shameless,Brian Tyler Cohen,4 hrs and 38 mins
Perfect,Kris Bryant,8 hrs and 48 mins
Worst Case Scenario,T.J. Newman,8 hrs and 13 mins
Wintering with George,Mary Calmes,3 hrs and 3 mins
"MeatEater's Campfire Stories: Discoveries, Revelations & Near Misses","Steven Rinella, Clay Newcomb, Brent Reaves, Buck Bowden, John Hayes, Mike Kunz, Bob Service, Chris Williams, Jeff Jones, Jim Swenson, Mike Carey, Chad Martin, Chad Johnston, Ryan Murray",5 hrs and 4 mins
Ministry of Truth,Steve Benen,5 hrs and 38 mins
Apprentice to the Villain,Hannah Nicole Maehrer,12 hrs and 40 mins
Task Force Hammer,Craig Alanson,21 hrs and 40 mins
Quicksilver,Callie Hart,21 hrs and 51 mins
Men Have Called Her Crazy,Anna Marie Tendler,8 hrs and 39 mins
Shifter Girl Summer,Landon Scott,6 hrs and 34 mins
Modern Achievement,"Asheesh Advani, Marshall Goldsmith",9 hrs and 12 mins
Joy,Danielle Steel,6 hrs and 56 mins
Moon Called (Dramatized Adaptation),Patricia Briggs,6 hrs and 43 mins
Apocalypse: Regression 4,"R.A. Mejia, Charles Dean",9 hrs and 14 mins
The Wickedness of a Highlander,Elisa Braden,8 hrs and 2 mins
Primal Conjurer 5,Danny Rogan,8 hrs and 51 mins
Pirate Wars: The Complete Series,"Rick Partlow, Ralph Kern",23 hrs and 40 mins
Spirit Crossing,William Kent Krueger,10 hrs and 2 mins
Everything We Never Knew,"Julianne Hough, Ellen Goodlett",8 hrs and 56 mins
An Honest Woman,Charlotte Shane,4 hrs and 38 mins
Blue Force,Rick Partlow,6 hrs and 42 mins
The River Saga: The Complete Series,Nathan Hystad,54 hrs and 33 mins
"Falcon Falls Security Boxed Set, Books 1-3",Brittney Sahin,37 hrs and 27 mins
Legend to Farmer 3,Dante King,7 hrs and 28 mins
Practical Adept,Terry Mancour,32 hrs and 57 mins
What Happens Next,Max Lucado,6 hrs and 56 mins
Glory Seeker: Feast of Ghouls,Bruce Nesmith,9 hrs and 26 mins
Beating Heart,Laura Pavlov,8 hrs and 17 mins
The Hedge Wizard 4,Alex Maher,28 hrs and 11 mins
Hitler's People,Richard J. Evans,21 hrs and 26 mins
Adult Autism Essentials,Jason Jones,3 hrs and 43 mins
Frontier Summoner 8,Jack Bryce,6 hrs and 57 mins
